Reviews,Outputs
I launch the app before scrolling down the homepage untl I tap on a news article.,"{'App freezes': ['Launch the app', 'Scroll down the homepage', 'before the first tap on a news article']}"
I open the app before tapping on the login button utnil it responds everytime it's pressed.,"{'Login button not working': ['Open the app', 'Tap on the login button', ""until it responds everytime it's pressed""]}"
"Whn I launch the app then tap on the 'Videos' tab, the videos won't load as soon as I try to play any video.","{""Videos won't load"": ['Launch the app', ""Tap on the 'Videos' tab"", 'as soon as I try to play any video']}"
I open the app befoer tapping on the search bar then it crashes before I can type anything.,"{'Search function crashes the app': ['Open the app', 'Tap on the search bar', 'before I can type anything']}"
I launch the app then swipe down to refresh the notifications util I tap on the bell icon.,"{'Notifications not showing up': ['Launch the app', 'Swipe down to refresh the notifications', 'then tap on the bell icon']}"
"Wen I open the app, I scroll through the feed then it crashes when a notification pops up.","{'App crashes': ['Open the app', 'Scroll through the feed', 'when a notification pops up']}"
"Aftr I launch the app, I tap on any image thumbnail until I close and reopen the app.","{'Images not loading': ['Launch the app', 'Tap on any image thumbnail', 'until I close and reopen the app']}"
I open the app then navigate to the settings page hwen I try to change any option.,"{'Buttons become unresponsive': ['Open the app', 'Navigate to the settings page', 'when I try to change any option']}"
I open the app when I navigate to the chat section bfre the messages load properly.,"{'Text overlapping issue': ['Open the app', 'Navigate to the chat section', 'before the messages load properly']}"
"Afer I launch the app, I click on any external link after the first time I use the feature.","{'Links redirecting to wrong pages': ['Launch the app', 'Click on any external link', 'after the first time I use the feature']}"
I open the app when I make changes in the settings as son as I hit the save button.,"{'Settings not saving': ['Open the app', 'Make changes in the settings', 'as soon as I hit the save button']}"
"When I open the app, I navigate between different sections everytme I switch tabs.","{'Slow loading times': ['Open the app', 'Navigate between different sections', 'everytime I switch tabs']}"
I launch the app then scroll through any page untli suddenly they vanish.,"{'UI elements disappearing randomly': ['Launch the app', 'Scroll through any page', 'then suddenly they vanish']}"
"Atfer I open the app, I play any audio file until I force close the app.","{'Audio playback issues': ['Open the app', 'Play any audio file', 'until I force close the app']}"
"Hwen I launch the app before attempting to comment on a post, the comment box doesn't appear.","{'Unable to post comments': ['Launch the app', 'Attempt to comment on a post', 'before the comment box appears']}"
I open the app whn I try to share a post then nothing happens when I tap on the share button.,"{'Unable to share content': ['Open the app', 'Try to share a post', 'when I tap on the share button']}"
"I can only scroll down the homepage after I launch the app, but it freezes sa son as I tap on a news article.","{'App freezes when tapping on a news article': ['Scroll down the homepage', 'Launch the app']}"
"Evreytime I open the app, the login button doesn't respond after I tap on it.","{""Login button doesn't respond"": ['Open the app', 'Tap on the login button']}"
The videos won't load as sooon as I try to play any video afetr I launch the app and tap on the 'Videos' tab.,"{""Videos won't load"": ['Play any video', 'Launch the app', ""Tap on the 'Videos' tab""]}"
"Whnever I open the app and tap on the search bar, it crashes.","{'App crashes': ['Open the app', 'Tap on the search bar']}"
"Notifications are not showing up afeter I launch the app, swipe down to refresh the notifications, and tap on the bell icon.","{'Notifications are not showing up': ['Launch the app', 'Swipe down to refresh the notifications', 'Tap on the bell icon']}"
"Eveyrtme a notification pops up, the app crashes aftr I open the app and scroll through the feed.","{'App crashes when a notification pops up': ['Open the app', 'Scroll through the feed']}"
I can't upload photos as soon sa I tap on the upload button after I take a picture with the app camera.,"{'Cannot upload photos': ['Tap on the upload button', 'Take a picture with the app camera']}"
"Whenver I try to check my messages, the app logs me out.",{'App logs out': ['Try to check messages']}
"Everytiem I try to make a purchase, the app crashes after I add items to the cart and proceed to checkout.","{'App crashes': ['Add items to the cart', 'Proceed to checkout']}"
I can't download updates as son as I tap on the update button after the app notifies me of a new version.,"{'Cannot download updates': ['Tap on the update button', 'App notifies of a new version']}"
"Whenver I try to edit my profile, the changes aren't saved.","{""Profile changes aren't saved"": ['Try to edit profile']}"
I can't see comments as son as I open a post after I refresh my feed.,"{'Cannot see comments': ['Open a post', 'Refresh feed']}"
"Evreytiem I try to share a post, the app crashes after I write a caption.","{'App crashes': ['Try to share a post','Write a caption']}"
"Whenevr I try to change my password, the app logs me out.",{'App logs out': ['Try to change password']}
I can't read articles as son as I click on them afetr I launch the app.,"{'Cannot read articles': ['Click on articles', 'Launch the app']}"
"Evertme I open the settings menu, the app freezes after I scroll down.","{'App freezes': ['Open the settings menu', 'Scroll down']}"
"Whenevr I try to watch live streams, the video buffers indefinitely.",{'Video buffers indefinitely': ['Try to watch live streams']}
"Whn trying to post a status, the app crashes constantly after typing the status and clicking on 'Post'.","[{'App constantly crashing': ['Trying to post a status', ""After typing the status and clicking on 'Post'""]}]"
"Whiel scrolling through the feed, notifications fail to appear every time I scroll.","[{'Notifications not showing up': ['Scrolling through the feed', 'Scroll through the feed']}]"
"As sooon as I click on a video to watch, videos randomly freeze during playback.","[{'Videos freezing randomly': ['Watching videos', 'Click on a video to watch']}]"
"Whn attempting to send a message, messages fail to send after composing the message and hitting send.","[{'Messages not sending': ['Trying to send a message', 'After composing the message and hitting send']}]"
"Wehn uploading a photo, photos do not upload properly after selecting the photo and clicking on the 'Upload' button.","[{'Photos not uploading properly': ['Uploading a photo', ""Selecting the photo"", ""Clicking on 'Upload'""]}]"
"Whn accessing settings, changes to settings are not saved every time I attempt to modify a setting.","[{'Settings not saving changes': ['Accessing settings', 'Attempt to modify a setting']}]"
