Review,Event
"Keeps logging me out of account saying session expired and everytime I try to log in it won't let me, keeps updating constantly even when I keep it up to date so not sure if the app is glitching, overall not a good app so may have to consider deleting Facebook as this has put me off and happens way too much, keep trying to update the app thinking it was that but its still not working and it says update again even after i already did","Events:

* Keeps logging me out of account saying session expired
* Try to log in, but it won't let me
* Keep updating constantly even when I keep it up to date
* Overall not a good app, may have to consider deleting Facebook
* Keep trying to update the app, but it's still not working and says update again even after I already did
Reviews:
* Keeps logging me out of account saying session expired and everytime I try to log in it won't let me
* It keeps updating constantly even when I keep it up to date so not sure if the app is glitching
* Overall not a good app so may have to consider deleting Facebook as this has put me off and happens way too much
* Keep trying to update the app thinking it was that but its still not working and it says update again even after i already did"
Facebook marketplace has a bug or a terrible feature where it will select a random picture as the main one (so the only one buyers see when searching and scrolling) keeps selecting a zoomed up tiny area of damage as the main photo instead of the actual overall photo of an object no wonder no one but scam bots message me now.,"Events: [Selecting a random picture as the main one, Keeping selecting a zoomed up tiny area of damage as the main photo instead of the actual overall photo of an object]"
I don't know what has happened lately it will not let me log into my Facebook I keep logging in right password and all cuz it starts to log in but then it decides login has expired and kicks me right back out logs me out then it turns around and I log back in and it does the same thing over and over first I thought it might have needed updated so I got it updated and it's still continuing to do it I do not know what is going on with it but it needs fixed,"Events:

* It keeps logging me out, saying session expired (3 times)
* I try to log in, but it won't let me (3 times)
* I keep trying to update the app, but it still won't let me log in (2 times)
* The app says ""update again"" even after I already did (1 time)
Note: Some of the events are mentioned multiple times in the reviews, but they are grouped together here for clarity."
Can't login at all can't recover my account at all I've tried uninstalling 3 times and tried to get the password reset but never worked just said error oh yeah and made my screen go black one time trying to login and white another time and just froze for a second then kicked me out of the app this app sucks in conclusion and GET actual customer SUPPORT,"Events:

[It keeps logging me out, It is saying session expired, I try to log in, It won't let me log in][I keep trying to update the app, It still won't let me log in][I update app, It says update again]
[I search and scroll, It will select a random picture as the main one, It keeps selecting a zoomed up tiny area of damage as the main photo instead of the actual overall photo of an object no wonder no one but scam bots message me now.]
[I log in with the right password, The app starts to log in, It decides login has expired, It logs me out, It turns around, I log back in, The app does the same thing over and over, I got it updated, It is still continuing to do the same thing over and over.]
[Can't login at all, Can't recover my account at all, I've tried uninstalling 3 times and tried to get the password reset but never worked just said error oh yeah and made my screen go black one time trying to login and white another time and just froze for a second then kicked me out of the app this app sucks in conclusion and GET actual customer SUPPORT]"
"When I try to share things that I like on my wall, Facebook's algorithm throws it in the irrelevant pile so no-one can see it and then there's the fact I can get my account restricted or giving my opinion on a clip of a MOVIE as to what one CHARACTER in that movie should do to another because it's labeled as ""violent""!!!","Events:

[It keeps logging me out, It is saying session expired, I try to log in, It won't let me log in][I keep trying to update the app, It still won't let me log in][I update app, It says update again]
[I search and scroll, It will select a random picture as the main one, It keeps selecting a zoomed up tiny area of damage as the main photo instead of the actual overall photo of an object no wonder no one but scam bots message me now.]
[I log in with the right password, The app starts to log in, It decides login has expired, It logs me out, It turns around, I log back in, The app does the same thing over and over, I got it updated, It is still continuing to do the same thing over and over]
[I can't login at all, Can't recover my account at all, I've tried uninstalling 3 times and tried to get the password reset but never worked, just said error, Oh yeah and made my screen go black one time trying to login and white another time and just froze for a second then kicked me out of the app]
[When I try to share things that I like on my wall, Facebook's algorithm throws it in the irrelevant pile so no-one can see it, And there's the fact I can get my account restricted or giving my opinion on a clip of a MOVIE as to what one CHARACTER in that movie should do to another because it's labeled as ""violent""!!!]"
"This app is garbage, it logs y9u.out randomly and you have to spend a ton of time trying to log back in with two factor authentication and it 90% of the time does not work they need to fix that and that would make the app a little better","Events: [It logs me out randomly, I have to spend time logging back in with two-factor authentication, It does not work 90% of the time]"
Suddenly after using FB an hr and a half ago it wouldnt allow me to log in so then it lets me log in and then it says there was an error so it shows me my page but it won't show anything else and then it gets rid of it cuz it goes right back out of it I cannot send any messages either on messenger but it shows me all my messages shows me people been on how long they haven't been on I even updated it now I deleted and I'm reinstalling this is ridiculous that it just worked and suddenly isn't smfh,"Here are the events extracted from the reviews:

Reviews: Keeps logging me out of account saying session expired and everytime I try to log in it won't let me, keeps updating constantly even when I keep it up to date so not sure if the app is glitching, overall not a good app so may have to consider deleting Facebook as this has put me off and happens way too much, keep trying to update the app thinking it was that but its still not working and it says update again even after i already did
Events: [It keeps logging me out, It is saying session expired, I try to log in, It won't let me log in][I keep trying to update the app, It still won't let me log in][I update app, It says update again]
Reviews: Facebook marketplace has a bug or a terrible feature where it will select a random picture as the main one (so the only one buyers see when searching and scrolling) keeps selecting a zoomed up tiny area of damage as the main photo instead of the actual overall photo of an object no wonder no one but scam bots message me now.
Events: [I search and scroll, It will select a random picture as the main one, It keeps selecting a zoomed up tiny area of damage as the main photo instead of the actual overall photo of an object]
Reviews: I don't know what has happened lately it will not let me log into my Facebook I keep logging in right password and all cuz it starts to log in but then it decides login has expired and kicks me right back out logs me out then it turns around, I log back in and it does the same thing over and over first I thought it might have needed updated so I got it updated and it's still continuing to do it I do not know what is going on with it but it needs fixed
Events: [I log in with the right password, The app starts to log in, It decides login has expired, It logs me out, It turns around, I log back in, The app does the same thing over and over, I got it updated, It is still continuing to do the same thing over and over]
Reviews: Can't login at all can't recover my account at all I've tried uninstalling 3 times and tried to get the password reset but never worked just said error oh yeah and made my screen go black one time trying to login and white another time and just froze for a second then kicked me out of the app this app sucks in conclusion and GET actual customer SUPPORT
Events: [I have tried uninstalling, I tried to get the password reset, It never worked and just said error][I was trying to login, It made my screen go black][I was trying to login, just froze for a second, kicked me out of the app]
Note that some reviews may have multiple events associated with them, but I have grouped them into separate events based on the context of the review."
"If I could give no stars to leave a rating I would, my facebook completely crashed and I have absolutely no access to it, I cannot log in at all, and when I try to log in it constantly says that session expired.","Events: [I can't log in at all, The app constantly says session expired]

* It keeps logging me out of account saying session expired (3 times)
* I try to log in, but it won't let me log in (4 times)
* I keep trying to update the app thinking it was that but it's still not working (2 times)"
They need to fix this app I have used it for so long and never had problems with it until the meta system which now it made me delete my account that I've had for 5 years won't let me log in or make a new account because apparently my session was over and apparently there's a error that won't let me log in or make a new account,"Events:
[It keeps logging me out, It is saying session expired][I try to log in, It won't let me log in][I update app, It says update again]

[I search and scroll, It will select a random picture as the main one][It keeps selecting a zoomed up tiny area of damage as the main photo instead of the actual overall photo of an object]
[I log in with the right password, The app starts to log in][It decides login has expired, It logs me out][It turns around, I log back in, The app does the same thing over and over]
[I have tried uninstalling, I tried to get the password reset, It never worked and just said error][I was trying to login, It made my screen go black][I was trying to login, just froze for a second, kicked me out of the app]"
"My account got hacked from somewhere in Nigeria, they then linked my account to a two-factor authentication on their device, I've tried contact customer support but nothing, and since they persist with a lack of customer support and allowing with sending their users in circles over and over in a never ending loop of inability to get some assistance of any type, I'm going to sadly leave this app and all the hundreds of photos and videos I've posted/shared, it's a shame but good riddance!","Here are the events extracted from the reviews:

[It keeps logging me out, It is saying session expired, I try to log in, It won't let me log in][I keep trying to update the app, It still won't let me log in][I update app, It says update again]
* Logging out unexpectedly
* Session expired message
* Trying to log in but unable to
* Updating the app but still encountering issues
[I search and scroll, It will select a random picture as the main one, Keep selecting a zoomed up tiny area of damage as the main photo instead of the actual overall photo of an object]
* Randomly selected main picture
* Zoomed-up main photo instead of actual photo
[I log in with the right password, The app starts to log in, It decides login has expired, It logs me out, It turns around, I log back in, The app does the same thing over and over]
* Logging in with correct password but still encountering issues
* App starts to log in but then cancels login
* Being logged out and unable to log back in
[I have tried uninstalling, I tried to get the password reset, It never worked and just said error, Made my screen go black one time trying to login and white another time and just froze for a second then kicked me out of the app]
* Uninstalling the app but still encountering issues
* Password reset issue
* Screen going black or white during login attempt
* Freezing during login attempt and being kicked out of the app
[My account got hacked from somewhere in Nigeria, They then linked my account to a two-factor authentication on their device]
* Account hacking
* Two-factor authentication issue
[I'm going to sadly leave this app and all the hundreds of photos and videos I've posted/shared, It's a shame but good riddance!]
* Intention to delete the app and stop using it."
