content,events_refined
"Can't even log in. Broken UI don't waste your time. Had a full profile with all the bells and whistles, took me a good bit of time. Even made a new profile to look into job details of something I found without LinkedIn. Can't get into that account either. Reset password, no use. Terrible application. Can't stress that enough. Use indeed or just walk into places. Again, terrible experience. Terrible terrible","Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
Can't even log in. Broken UI don't waste your time. Had a full profile with all the bells and whistles, took me a good bit of time. Even made a new profile to look into job details of something I found without LinkedIn. Can't get into that account either. Reset password, no use. Terrible application. Can't stress that enough. Use indeed or just walk into places. Again, terrible experience. Terrible terrible

### events refined:

[ I can't log in, I had a full profile with all the bells and whistles, I made a new profile to look into job details of something I found without LinkedIn, I can't get into that account either, I reset password, it's no use, I can't log in]
"
"Premium subscription auto renewed through Google Play. I cancelled premium through the app and my premium account was cancelled the same day instead of after the month I just paid for. I can't get a hold of anyone to dispute this. I'd be happy with either a refund or a month subscription, but I can't make either happen. I sent an email the day I posted this but haven't gotten a response.","Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
Premium subscription auto renewed through Google Play. I cancelled premium through the app and my premium account was cancelled the same day instead of after the month I just paid for. I can't get a hold of anyone to dispute this. I'd be happy with either a refund or a month subscription, but I can't make either happen. I sent an email the day I posted this but haven't gotten a response.

### events refined:

[""I cancelled premium through the app, it was cancelled the same day instead of after the month I just paid for""]
"
"This app crashes constantly, mainly when trying to do anything other than view profiles. You cannot even access your personal settings, the app just crashes every time. LinkedIn thought it was a good idea to make certain features, like seeing who you follow, only available in the app. Then they make an app that doesnt work! I have to download the app just to see who I am following. But the app crashes so I have to uninstall to actually use my account. Because the site redirects you to the app.","Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
This app crashes constantly, mainly when trying to do anything other than view profiles. You cannot even access your personal settings, the app just crashes every time. LinkedIn thought it was a good idea to make certain features, like seeing who you follow, only available in the app. Then they make an app that doesnt work! I have to download the app just to see who I am following. But the app crashes so I have to uninstall to actually use my account. Because the site redirects you to the app.

### events refined:

[ I try to do anything other than view profiles, the app just crashes every time.]
"
Too. Many. Notifications. This application will bombard you with more notifications than any other application. Opening the application and viewing the notification list doesn't mark them as read. You must go to each one individually to clear it. There is the option to adjust notifications but you need a PhD to understand the millions of notification options. Not intuitive.,"Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
Too. Many. Notifications. This application will bombard you with more notifications than any other application. Opening the application and viewing the notification list doesn't mark them as read. You must go to each one individually to clear it. There is the option to adjust notifications but you need a PhD to understand the millions of notification options. Not intuitive.

### events refined:

[It will bombard you with more notifications than any other application, Opening the application and viewing the notification list doesn't mark them as read, You must go to each one individually to clear it, There is the option to adjust notifications, I need a PhD to understand the millions of notification options, It is not intuitive]
"
"You need to attend to the improvements required for your most recent updated application. It is problematic as I attempted to submit my Driver's License using the direct camera feature, but it did not function properly. You should ensure that users are able to choose images from their gallery instead. The new application lacks coherence and is excessively frustrating. With this feature, linkedin is going down","Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
You need to attend to the improvements required for your most recent updated application. It is problematic as I attempted to submit my Driver's License using the direct camera feature, but it did not function properly. You should ensure that users are able to choose images from their gallery instead. The new application lacks coherence and is excessively frustrating. With this feature, linkedin is going down

### events refined:

[ I attempted to submit my Driver's License using the direct camera feature, but it did not function properly] [I should be able to choose images from my gallery instead]
"
"I'm not impressed. I've been active on here for quite some time looking for work, but all I get is scammers, sellers, and no response from businesses, or job posters and notifications to reactivate premium. The costant notifications for remote jobs that are on-site roles is dreadful. Also recommends jobs that are more than 50 miles away. Borh, those options are not selected in my job notifications. I have had both standard and the overpriced premium with the same experience.","Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
I'm not impressed. I've been active on here for quite some time looking for work, but all I get is scammers, sellers, and no response from businesses, or job posters and notifications to reactivate premium. The costant notifications for remote jobs that are on-site roles is dreadful. Also recommends jobs that are more than 50 miles away. Borh, those options are not selected in my job notifications. I have had both standard and the overpriced premium with the same experience.

### events refined:

[ I have been active on here for quite some time looking for work, I get scammers, sellers, and no response from businesses, or job posters and notifications to reactivate premium.]
"
"ZERO stars - for locking out users. The text message/phone call verification only works when signing up. When I return to log back in - no text is sent, no phone call is generated (tried with 4 different numbers), so I get locked out. This is true of both the app AND the website. You are not a bank, LinkedIn, nor are you any more useful in job search than your countless competitors. Fix the validation. Not that it will prompt me to try to log in again.","Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
ZERO stars - for locking out users. The text message/phone call verification only works when signing up. When I return to log back in - no text is sent, no phone call is generated (tried with 4 different numbers), so I get locked out. This is true of both the app AND the website. You are not a bank, LinkedIn, nor are you any more useful in job search than your countless competitors. Fix the validation. Not that it will prompt me to try to log in again.

### events refined:

[I return to log back in - no text is sent, no phone call is generated, I get locked out]
"
"If I could, I would give this app zero stars. What started out as a platform that was engaging, helpful, and resourceful as it pertains to career networking has become a Facebook / Instagram sidekick. Not only can I no longer download videos or posts to my device for later viewing, things that were in my feed two seconds ago are no longer in my feed and I have no idea how to find them. What started as a promising app is nothing more than waste of my time.","Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
If I could, I would give this app zero stars. What started out as a platform that was engaging, helpful, and resourceful as it pertains to career networking has become a Facebook / Instagram sidekick. Not only can I no longer download videos or posts to my device for later viewing, things that were in my feed two seconds ago are no longer in my feed and I have no idea how to find them. What started as a promising app is nothing more than waste of my time.

### events refined:

[ I can no longer download videos or posts to my device for later viewing, things that were in my feed two seconds ago are no longer in my feed and I have no idea how to find them]
"
"The app is decent for finding general information about companies. The search functionality is deeply limited. One example, searching jobs for a specific company, you can only narrow location by country!! COUNTRY!!!!! Useless for most places, absolutely pointless for the USA. Job suggestions are appalling, not remotely similar to the jobs I look for and have interest in on LinkedIn. Limiting lists such as Skills.""Easy Apply"" has resulted in spam text/emails. Pretty terrible actually.","Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
The app is decent for finding general information about companies. The search functionality is deeply limited. One example, searching jobs for a specific company, you can only narrow location by country!! COUNTRY!!!!! Useless for most places, absolutely pointless for the USA. Job suggestions are appalling, not remotely similar to the jobs I look for and have interest in on LinkedIn. Limiting lists such as Skills.""Easy Apply"" has resulted in spam text/emails. Pretty terrible actually.

### events refined:

[I search jobs for a specific company, I can only narrow location by country, it is useless for most places, it is absolutely pointless for the USA, the job suggestions are appalling, not remotely similar to the jobs I look for and have interest in on LinkedIn]
"
Useless app. Too many notifications and it's almost impossible to log into your account. You have to repeat verification of code on email and the baby rhino 🦏. I also have an old account I want to delete but they won't allow me to. It's restricted despite giving them the information they want including passport. Are there no alternatives? Bad interface that's very difficult to navigate. Limited options to choose from for industry categories. This repetition of verification...,"Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
Useless app. Too many notifications and it's almost impossible to log into your account. You have to repeat verification of code on email and the baby rhino 🦏. I also have an old account I want to delete but they won't allow me to. It's restricted despite giving them the information they want including passport. Are there no alternatives? Bad interface that's very difficult to navigate. Limited options to choose from for industry categories. This repetition of verification...

### events refined:

[It's almost impossible to log into my account, I have to repeat verification of code on email, It's restricted despite giving them the information they want including passport, It's very difficult to navigate, I have limited options to choose from for industry categories]
"
